Account No,Organisation,City,Country,Region,Access,C40,Reporting year,Risks to city’s water supply,​Timescale,Magnitude,Risk description,Current population,Population year,City location,Country location
54100,"City of Columbia, MO","Columbia, MO",USA,North America,Public,,2017,Flooding,,,,119098,2017,"(38.951705, -92.334072)","(37.09024, -95.712891)"
55799,"City of Arlington, VA","Arlington, VA",USA,North America,Public,,2017,Higher water prices,,,,220400,2016,"(37.226486, -76.002594)","(37.09024, -95.712891)"
35870,City of Miami,Miami,USA,North America,Public,,2017,Increased water stress or scarcity,Current,Extremely serious,,413892,2014,"(25.7617, -80.1918)","(37.09024, -95.712891)"
36043,Abuja Federal Capital Territory,Abuja,Nigeria,Africa,Public,,2017,Higher water prices,Short-term,Serious,,2440000,2017,"(9.076479, 7.398574)","(9.081999, 8.675277)"
36039,Accra Metropolitan Assembly,Accra,Ghana,Africa,Public,C40,2017,Flooding,,,,2291352,2013,"(5.565437, -0.168191)","(7.946527, -1.023194)"
36039,Accra Metropolitan Assembly,Accra,Ghana,Africa,Public,C40,2017,Inadequate or aging infrastructure,,,,2291352,2013,"(5.565437, -0.168191)","(7.946527, -1.023194)"
54402,City of Lahti,Lahti,Finland,Europe,Public,,2017,Declining water quality,Short-term,Serious,Damage to urban infrastructure due to extreme weather events.,119452,2016,"(60.9833, 25.65)","(61.92411, 25.748151)"
50794,Prefeitura Municipal de Caieiras,Caieiras,Brazil,Latin America,Public,,2017,Declining water quality,Medium-term,Serious,Por conta da falta de água e escassez.,95780,2015,"(-23.36122, -46.740187)","(-14.235004, -51.92528)"
54683,Prefeitura Municipal de Franco da Rocha,Franco da Rocha,Brazil,Latin America,Public,,2017,Declining water quality,Short-term,Serious,"As mudanças climáticas podem ter modificado o ciclo das chuvas, produzindo uma crise hídrica.",131000,2010,"(-23.30943, -46.732043)","(-14.235004, -51.92528)"
68387,Prefeitura de Miracema,Miracema,Brazil,Latin America,Public,,2017,Declining water quality,,,,26843,2010,"(-21.40811, -42.186194)","(-14.235004, -51.92528)"
36002,Ville de Kinshasa,Ville de Kinshasa,Democratic Republic of Congo,Africa,Public,,2017,Declining water quality,Medium-term,Serious,The company in charge of water distribution offers water with less and less good quality.,10000000,2017,"(-4.441931, 15.266293)","(-4.038333, 21.758664)"
54687,Prefeitura Municipal de São José dos Campos,São José dos Campos,Brazil,Latin America,Public,,2017,Declining water quality,Current,Extremely serious,,629921,2010,"(-23.184768, -45.878284)","(-14.235004, -51.92528)"
50555,City of Hamilton,Hamilton,Canada,North America,Public,,2017,Declining water quality,Short-term,Serious,"The urban area residents within the City of Hamilton (92% of total residents) are connected to the Lake Ontario based Drinking Water System-DWS. There is low sensitivity to climate change from a quantity perspective. It was assessed that due to an increase in water temperature, a shift in winter precipitation to more rain than snow, less snowpack, earlier spring melt can lead to a water drop of 0.37m by 2050. This water level drop will not affect the intake. 
However a change in climatic conditions can result in the invasion of alien species and water quality shifts such as a significant increased in frequency of algal blooms.",550700,2015,"(43.250021, -79.866091)","(56.130366, -106.346771)"
50568,City of Saskatoon,Saskatoon,Canada,North America,Public,,2017,Declining water quality,Short-term,Serious,,265300,2016,"(52.133214, -106.670046)","(56.130366, -106.346771)"
50578,City of Windsor,Windsor,Canada,North America,Public,,2017,Declining water quality,Long-term,Serious,"Warming temperatures and nutrient loading have led to a resurgence in toxic cyanobacteria blooms in Lakes St. Clair and Erie. This has resulted in fish deaths, water boil advisories, clogged water intakes and decreased recreation possibilities, and may continue to worsen as temperatures continue to rise.  Windsor's water intake is located in the Detroit River which provides some protection from cyanobacteria.",217188,2016,"(42.314937, -83.036363)","(56.130366, -106.346771)"
59669,City of North Vancouver,North Vancouver,Canada,North America,Public,,2017,Declining water quality,Long-term,Serious,Risks to water quality could occur to higher temperatures in the water reservoir and potential for increase contamination from pathogens.  This could result in increased chlorine residuals can increase the levels of Haloacetic acid and Trihalomethanes (THMs); longer than average exposure to THMs is an indicator of byproduct related cancer risk while chlorine residuals below 0.2 mg/l can potentially allow pathogenic organisms to multiply.,52898,2016,"(49.32, -123.0724)","(56.130366, -106.346771)"
